Generating SQLite file fdm_200_20_gpu_ibm.sqlite from fdm_200_20_gpu_ibm.nsys-rep
Processing [fdm_200_20_gpu_ibm.sqlite] with [/opt/nvidia/hpc_sdk/Linux_x86_64/26.3/profilers/13.1/Nsight_Systems/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 
SKIPPED: fdm_200_20_gpu_ibm.sqlite does not contain CUDA kernel data.

Processing [fdm_200_20_gpu_ibm.sqlite] with [/opt/nvidia/hpc_sdk/Linux_x86_64/26.3/profilers/13.1/Nsight_Systems/host-linux-x64/reports/cuda_gpu_mem_time_sum.py]... 
SKIPPED: fdm_200_20_gpu_ibm.sqlite does not contain GPU memory data.

Processing [fdm_200_20_gpu_ibm.sqlite] with [/opt/nvidia/hpc_sdk/Linux_x86_64/26.3/profilers/13.1/Nsight_Systems/host-linux-x64/reports/cuda_api_sum.py]... 
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
83.9,4260929885,607,7019653.8,965199.0,7200,38607363,10924319.1,cuStreamSynchronize
5.4,272125356,40,6803133.9,6822044.0,3890597,7980193,536017.2,cudaDeviceSynchronize
5.2,262660965,60,4377682.8,4343246.5,4244296,5065096,130556.9,cuMemcpyDtoHAsync_v2
3.1,156928935,100,1569289.4,19050.0,5600,12466379,3704830.2,cuMemcpyHtoDAsync_v2
0.9,48255520,1,48255520.0,48255520.0,48255520,48255520,0.0,cuMemHostAlloc
0.5,25400482,681,37298.8,31100.0,7600,315600,20349.4,cuLaunchKernel
0.3,13654778,1,13654778.0,13654778.0,13654778,13654778,0.0,cuModuleLoadDataEx
0.3,12959077,28,462824.2,500649.0,8500,952698,241604.1,cuMemAlloc_v2
0.2,9308590,31,300277.1,390599.0,200,598199,180648.4,cuMemFree_v2
0.2,9029691,2,4514845.5,4514845.5,485800,8543891,5697930.8,cuMemFreeHost
0.0,2466996,1,2466996.0,2466996.0,2466996,2466996,0.0,cuMemAllocManaged
0.0,1797497,1,1797497.0,1797497.0,1797497,1797497,0.0,cuMemAllocHost_v2
0.0,1627398,5,325479.6,58700.0,13800,1378498,590587.5,cuMemcpyHtoD_v2
0.0,1613797,4,403449.3,366999.0,306000,573799,120319.8,cuModuleLoadData
0.0,667998,2,333999.0,333999.0,83499,584499,354260.5,cuMemGetInfo_v2
0.0,382000,20,19100.0,16200.0,14000,48400,9048.9,cuMemsetD32Async
0.0,92200,4,23050.0,20100.0,14600,37400,9914.8,cuModuleUnload
0.0,73400,465,157.8,100.0,0,3900,187.4,cuGetProcAddress_v2
0.0,14600,3,4866.7,2300.0,1700,10600,4974.3,cuInit
0.0,13400,7,1914.3,1700.0,300,3800,1303.1,cuCtxSetCurrent
0.0,300,1,300.0,300.0,300,300,0.0,cuModuleGetLoadingMode

Processing [fdm_200_20_gpu_ibm.sqlite] with [/opt/nvidia/hpc_sdk/Linux_x86_64/26.3/profilers/13.1/Nsight_Systems/host-linux-x64/reports/osrt_sum.py]... 
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
73.6,11820592464,123,96102377.8,100176308.0,1400,100258119,17666989.1,poll
24.9,4000064052,1,4000064052.0,4000064052.0,4000064052,4000064052,0.0,pthread_cond_timedwait
1.3,213889067,2982,71726.7,7700.0,1000,17459271,613515.2,ioctl
0.1,16382374,19,862230.2,3300.0,1300,15740575,3604178.5,fread
0.1,8173891,1282,6375.9,5900.0,2400,39500,3362.1,mprotect
0.0,7518893,30,250629.8,27950.0,2500,6273893,1138754.3,mmap
0.0,1826996,34,53735.2,4550.0,1000,823199,168240.2,fopen
0.0,890398,5,178079.6,9300.0,4000,697398,299226.5,open
0.0,693899,3,231299.7,71100.0,70999,551800,277561.4,sem_timedwait
0.0,328899,4,82224.8,82499.5,76600,87300,4382.8,pthread_create
0.0,249900,13,19223.1,1900.0,1000,179300,49022.8,fclose
0.0,230700,2,115350.0,115350.0,1000,229700,161715.3,close
0.0,150000,1,150000.0,150000.0,150000,150000,0.0,pthread_join
0.0,129900,4,32475.0,21550.0,16500,70300,25349.3,write
0.0,104200,6,17366.7,1450.0,1300,97000,39012.3,fcntl
0.0,31700,3,10566.7,1400.0,1000,29300,16224.8,fflush
0.0,27700,1,27700.0,27700.0,27700,27700,0.0,fgets
0.0,20099,4,5024.8,5349.5,1600,7800,2819.6,pipe2
0.0,11400,4,2850.0,1600.0,1200,7000,2792.3,fwrite
0.0,9000,5,1800.0,1800.0,1300,2200,339.1,read
0.0,4000,1,4000.0,4000.0,4000,4000,0.0,fgetc
0.0,3800,1,3800.0,3800.0,3800,3800,0.0,sigaction

