Generating SQLite file fdm_200_20_gpu_ibm_after.sqlite from fdm_200_20_gpu_ibm_after.nsys-rep
Processing [fdm_200_20_gpu_ibm_after.sqlite] with [/opt/nvidia/hpc_sdk/Linux_x86_64/26.3/profilers/13.1/Nsight_Systems/host-linux-x64/reports/cuda_api_sum.py]... 
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
84.5,4362065392,587,7431116.5,933696.0,7300,43930630,11436809.1,cuStreamSynchronize
5.2,269040630,60,4484010.5,4362283.0,4204783,5487178,319097.0,cuMemcpyDtoHAsync_v2
5.1,261651762,40,6541294.0,6548223.0,795597,8085068,1021164.8,cudaStreamSynchronize
3.0,154527381,98,1576810.0,20500.5,4900,11373041,3668874.3,cuMemcpyHtoDAsync_v2
0.8,43017187,1,43017187.0,43017187.0,43017187,43017187,0.0,cuMemHostAlloc
0.5,26733107,661,40443.4,31100.0,7400,313909,26541.8,cuLaunchKernel
0.2,10686648,27,395801.8,376211.0,9400,1170635,258402.2,cuMemAlloc_v2
0.2,10369454,30,345648.5,385548.0,100,896396,233763.9,cuMemFree_v2
0.2,10255556,2,5127778.0,5127778.0,721997,9533559,6230715.2,cuMemFreeHost
0.1,7657629,1,7657629.0,7657629.0,7657629,7657629,0.0,cuModuleLoadDataEx
0.0,1945458,1,1945458.0,1945458.0,1945458,1945458,0.0,cuMemAllocManaged
0.0,1450344,1,1450344.0,1450344.0,1450344,1450344,0.0,cuMemAllocHost_v2
0.0,1291738,5,258347.6,10400.0,10000,1163335,507327.8,cuMemcpyHtoD_v2
0.0,1180135,4,295033.8,291408.5,242507,354811,50262.3,cuModuleLoadData
0.0,619218,2,309609.0,309609.0,88703,530515,312408.3,cuMemGetInfo_v2
0.0,431598,20,21579.9,15850.0,14100,58300,13713.6,cuMemsetD32Async
0.0,102199,4,25549.8,19000.0,13400,50799,17043.5,cuModuleUnload
0.0,87700,465,188.6,100.0,100,14200,677.6,cuGetProcAddress_v2
0.0,15602,3,5200.7,2500.0,2101,11001,5027.2,cuInit
0.0,15100,7,2157.1,1900.0,200,4600,1633.9,cuCtxSetCurrent
0.0,200,1,200.0,200.0,200,200,0.0,cuModuleGetLoadingMode

