Generating SQLite file fdm_200_20_gpu_noibm.sqlite from fdm_200_20_gpu_noibm.nsys-rep
Processing [fdm_200_20_gpu_noibm.sqlite] with [/opt/nvidia/hpc_sdk/Linux_x86_64/26.3/profilers/13.1/Nsight_Systems/host-linux-x64/reports/cuda_api_sum.py]... 
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
85.3,4196198180,485,8651955.0,563200.0,7100,42107762,12043457.1,cuStreamSynchronize
5.4,264982894,60,4416381.6,4334646.5,4238698,6221295,304911.7,cuMemcpyDtoHAsync_v2
5.2,255154401,40,6378860.0,6468045.5,727100,8189892,970841.0,cudaDeviceSynchronize
2.4,118583893,90,1317598.8,19600.0,4300,11404890,3329176.7,cuMemcpyHtoDAsync_v2
0.4,19742682,561,35191.9,29000.0,7200,358900,22768.3,cuLaunchKernel
0.4,19665683,1,19665683.0,19665683.0,19665683,19665683,0.0,cuMemHostAlloc
0.2,11129690,1,11129690.0,11129690.0,11129690,11129690,0.0,cuModuleLoadDataEx
0.2,11001192,24,458383.0,493349.5,7500,898599,233180.9,cuMemAlloc_v2
0.2,9670995,2,4835497.5,4835497.5,544899,9126096,6067822.6,cuMemFreeHost
0.2,8678296,27,321418.4,381500.0,100,739000,195172.1,cuMemFree_v2
0.0,1497198,4,374299.5,360499.5,308499,467700,68461.1,cuModuleLoadData
0.0,1336399,5,267279.8,13000.0,12000,1198799,522110.7,cuMemcpyHtoD_v2
0.0,1335199,1,1335199.0,1335199.0,1335199,1335199,0.0,cuMemAllocManaged
0.0,1056299,1,1056299.0,1056299.0,1056299,1056299,0.0,cuMemAllocHost_v2
0.0,592600,2,296300.0,296300.0,92700,499900,287933.9,cuMemGetInfo_v2
0.0,316499,20,15825.0,14450.0,13700,25500,2995.6,cuMemsetD32Async
0.0,100200,4,25050.0,18100.0,13300,50700,17249.1,cuModuleUnload
0.0,68500,465,147.3,100.0,0,3100,151.0,cuGetProcAddress_v2
0.0,14000,3,4666.7,3100.0,1300,9600,4366.2,cuInit
0.0,13400,7,1914.3,2000.0,300,4000,1306.9,cuCtxSetCurrent
0.0,200,1,200.0,200.0,200,200,0.0,cuModuleGetLoadingMode

Processing [fdm_200_20_gpu_noibm.sqlite] with [/opt/nvidia/hpc_sdk/Linux_x86_64/26.3/profilers/13.1/Nsight_Systems/host-linux-x64/reports/osrt_sum.py]... 
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
70.3,9917931700,104,95364727.9,100176981.0,1300,100226107,20071705.7,poll
28.4,4000078804,1,4000078804.0,4000078804.0,4000078804,4000078804,0.0,pthread_cond_timedwait
1.0,145623683,2564,56795.5,7300.0,1100,7200594,328854.5,ioctl
0.1,16680886,19,877941.4,2200.0,1400,15982786,3658747.3,fread
0.1,7121195,30,237373.2,9900.0,2400,6233397,1133910.4,mmap
0.0,6644295,1042,6376.5,5600.0,2300,60900,4163.6,mprotect
0.0,1484699,34,43667.6,4550.0,1000,696499,134921.7,fopen
0.0,1032699,4,258174.8,260449.5,61400,450400,218767.0,sem_timedwait
0.0,825999,5,165199.8,10400.0,4900,637499,272951.3,open
0.0,408500,4,102125.0,82600.0,76300,167000,43359.5,pthread_create
0.0,239600,1,239600.0,239600.0,239600,239600,0.0,pthread_join
0.0,207800,2,103900.0,103900.0,1000,206800,145522.6,close
0.0,192000,14,13714.3,2000.0,1000,116700,30971.8,fclose
0.0,109999,1,109999.0,109999.0,109999,109999,0.0,pthread_cond_wait
0.0,61999,3,20666.3,22199.0,17300,22500,2919.2,write
0.0,32800,2,16400.0,16400.0,1800,31000,20647.5,fgetc
0.0,28400,1,28400.0,28400.0,28400,28400,0.0,fgets
0.0,25600,2,12800.0,12800.0,1200,24400,16404.9,fflush
0.0,19200,1,19200.0,19200.0,19200,19200,0.0,pthread_cond_broadcast
0.0,18600,4,4650.0,5550.0,1300,6200,2263.5,pipe2
0.0,18400,10,1840.0,1700.0,1100,3900,824.9,fcntl
0.0,11700,5,2340.0,1200.0,1100,6200,2198.4,fwrite
0.0,7400,5,1480.0,1400.0,1000,2000,414.7,read
0.0,4000,1,4000.0,4000.0,4000,4000,0.0,sigaction

