Generating SQLite file fdm_200_20_gpu_noibm_after.sqlite from fdm_200_20_gpu_noibm_after.nsys-rep
Processing [fdm_200_20_gpu_noibm_after.sqlite] with [/opt/nvidia/hpc_sdk/Linux_x86_64/26.3/profilers/13.1/Nsight_Systems/host-linux-x64/reports/cuda_api_sum.py]... 
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
84.9,4206726895,465,9046724.5,945505.0,6900,41604798,12232305.1,cuStreamSynchronize
5.4,267379442,60,4456324.0,4367000.0,4209879,6170628,337355.4,cuMemcpyDtoHAsync_v2
5.0,249472613,40,6236815.3,6277450.0,374102,7300834,988503.8,cudaStreamSynchronize
2.6,127350534,88,1447165.2,25000.0,4800,11812559,3599702.6,cuMemcpyHtoDAsync_v2
0.9,44932025,1,44932025.0,44932025.0,44932025,44932025,0.0,cuMemHostAlloc
0.4,21073207,541,38952.3,30600.0,7300,371502,28004.0,cuLaunchKernel
0.2,9980949,2,4990474.5,4990474.5,534197,9446752,6302128.1,cuMemFreeHost
0.2,9590846,23,416993.3,443502.0,7000,1228206,255401.1,cuMemAlloc_v2
0.2,7798860,26,299956.2,369048.0,100,674796,191044.9,cuMemFree_v2
0.1,3673918,1,3673918.0,3673918.0,3673918,3673918,0.0,cuModuleLoadDataEx
0.0,2020710,1,2020710.0,2020710.0,2020710,2020710,0.0,cuMemAllocManaged
0.0,1381706,5,276341.2,59000.0,12800,1164905,498143.3,cuMemcpyHtoD_v2
0.0,1377207,4,344301.8,342902.0,310101,381302,35369.2,cuModuleLoadData
0.0,1204706,1,1204706.0,1204706.0,1204706,1204706,0.0,cuMemAllocHost_v2
0.0,499602,2,249801.0,249801.0,82400,417202,236740.8,cuMemGetInfo_v2
0.0,337699,20,16885.0,13300.0,12800,55700,9896.6,cuMemsetD32Async
0.0,102200,465,219.8,100.0,0,40600,1877.8,cuGetProcAddress_v2
0.0,88900,4,22225.0,19500.0,13700,36200,9709.9,cuModuleUnload
0.0,14700,3,4900.0,2400.0,1600,10700,5038.8,cuInit
0.0,13801,7,1971.6,1700.0,300,4200,1439.8,cuCtxSetCurrent
0.0,100,1,100.0,100.0,100,100,0.0,cuModuleGetLoadingMode

