Generating SQLite file fdm_200_20_gpu_noibm_mem.sqlite from fdm_200_20_gpu_noibm_mem.nsys-rep
Processing [fdm_200_20_gpu_noibm_mem.sqlite] with [/opt/nvidia/hpc_sdk/Linux_x86_64/26.3/profilers/13.1/Nsight_Systems/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 
SKIPPED: fdm_200_20_gpu_noibm_mem.sqlite does not contain CUDA kernel data.

Processing [fdm_200_20_gpu_noibm_mem.sqlite] with [/opt/nvidia/hpc_sdk/Linux_x86_64/26.3/profilers/13.1/Nsight_Systems/host-linux-x64/reports/cuda_gpu_mem_size_sum.py]... 
SKIPPED: fdm_200_20_gpu_noibm_mem.sqlite does not contain GPU memory data.

Processing [fdm_200_20_gpu_noibm_mem.sqlite] with [/opt/nvidia/hpc_sdk/Linux_x86_64/26.3/profilers/13.1/Nsight_Systems/host-linux-x64/reports/cuda_gpu_mem_time_sum.py]... 
SKIPPED: fdm_200_20_gpu_noibm_mem.sqlite does not contain GPU memory data.

Processing [fdm_200_20_gpu_noibm_mem.sqlite] with [/opt/nvidia/hpc_sdk/Linux_x86_64/26.3/profilers/13.1/Nsight_Systems/host-linux-x64/reports/cuda_api_sum.py]... 
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
81.6,4173108048,485,8604346.5,583600.0,7500,39442493,11945719.5,cuStreamSynchronize
5.2,266973570,60,4449559.5,4323699.5,4216000,5952299,328644.3,cuMemcpyDtoHAsync_v2
4.9,249408573,40,6235214.3,6361349.5,508500,7322799,953251.8,cudaDeviceSynchronize
3.5,177406794,1,177406794.0,177406794.0,177406794,177406794,0.0,cuDevicePrimaryCtxRetain
2.6,133775596,90,1486395.5,18500.0,6000,13600100,3766293.2,cuMemcpyHtoDAsync_v2
0.9,44811098,1,44811098.0,44811098.0,44811098,44811098,0.0,cuMemHostAlloc
0.4,22848699,561,40728.5,33600.0,8600,310200,22917.5,cuLaunchKernel
0.2,11730998,2,5865499.0,5865499.0,663000,11067998,7357444.6,cuMemFreeHost
0.2,10354399,24,431433.3,460000.0,8300,976700,224917.9,cuMemAlloc_v2
0.2,9755198,27,361303.6,473300.0,100,703399,215085.5,cuMemFree_v2
0.1,3938900,1,3938900.0,3938900.0,3938900,3938900,0.0,cuModuleLoadDataEx
0.0,2012800,1,2012800.0,2012800.0,2012800,2012800,0.0,cuMemAllocManaged
0.0,1844300,1,1844300.0,1844300.0,1844300,1844300,0.0,cuMemAllocHost_v2
0.0,1369400,4,342350.0,358500.0,256200,396200,62192.7,cuModuleLoadData
0.0,1318900,5,263780.0,11200.0,10300,1184700,516307.1,cuMemcpyHtoD_v2
0.0,941000,20,47050.0,34200.0,21900,146700,30359.1,cuModuleGetFunction
0.0,691100,521,1326.5,700.0,100,172300,8012.5,cuFuncGetAttribute
0.0,587600,2,293800.0,293800.0,111700,475900,257528.3,cuMemGetInfo_v2
0.0,439600,12,36633.3,200.0,100,437000,126082.8,cuCtxPushCurrent_v2
0.0,392700,20,19635.0,16200.0,13900,38900,7114.5,cuMemsetD32Async
0.0,304900,3,101633.3,600.0,500,303800,175081.5,cuDeviceGet
0.0,102700,4,25675.0,22700.0,15100,42200,11589.2,cuModuleUnload
0.0,72200,465,155.3,100.0,100,5000,235.3,cuGetProcAddress_v2
0.0,66900,22,3040.9,2600.0,1400,6900,1563.2,cuPointerGetAttributes
0.0,21300,137,155.5,100.0,0,1000,177.0,cuDeviceGetAttribute
0.0,12500,12,1041.7,750.0,300,2400,839.3,cuCtxPopCurrent_v2
0.0,10300,7,1471.4,1500.0,400,3200,986.1,cuCtxSetCurrent
0.0,9500,3,3166.7,2500.0,1500,5500,2081.7,cuInit
0.0,4500,18,250.0,200.0,100,600,129.5,cuCtxGetCurrent
0.0,3800,4,950.0,900.0,700,1300,251.7,cuModuleGetGlobal_v2
0.0,3400,3,1133.3,700.0,200,2500,1209.7,cuDeviceGetCount
0.0,3100,4,775.0,650.0,600,1200,287.2,cuOccupancyMaxActiveBlocksPerMultiprocessor
0.0,2700,4,675.0,650.0,500,900,206.2,cuDeviceGetName
0.0,900,1,900.0,900.0,900,900,0.0,cuDeviceComputeCapability
0.0,800,1,800.0,800.0,800,800,0.0,cuPointerGetAttribute
0.0,700,4,175.0,200.0,100,200,50.0,cuCtxGetDevice
0.0,600,5,120.0,100.0,100,200,44.7,cuDriverGetVersion
0.0,400,1,400.0,400.0,400,400,0.0,cuDeviceGetUuid
0.0,300,1,300.0,300.0,300,300,0.0,cuDeviceTotalMem_v2
0.0,200,1,200.0,200.0,200,200,0.0,cuModuleGetLoadingMode

