# Flageul, Benhamadouche, Lamballais & Laurence, IJHFF 55 (2015) 34-44,
# figure 5a, the isoQ (green x) case.  Re_tau = 149, Pr = 0.71.
# Digitised by digitize_flageul.py and cross-validated against the same
# series in panel 5b: max 0.209, rms 0.048 in <T'^2>.
# y+   <T'^2>/T_tau^2
0.448194 4.27812
0.45044 4.27812
0.452698 4.25721
0.454968 4.25831
0.457248 4.25941
0.45954 4.26051
0.461844 4.26161
0.464159 4.26271
0.466486 4.26381
0.468824 4.26491
0.471174 4.26601
0.473536 4.26711
0.47591 4.26821
0.478295 4.26932
0.480693 4.27042
0.483102 4.27152
0.485524 4.27262
0.487958 4.27372
0.490404 4.27427
0.492862 4.27427
0.495333 4.27812
0.497815 4.27812
0.500311 4.27922
0.502819 4.28032
0.505339 4.28142
0.507872 4.28252
0.510418 4.28362
0.512977 4.28472
0.515548 4.28582
0.518132 4.28692
0.52073 4.28803
0.52334 4.28913
0.525963 4.29023
0.5286 4.29133
0.53125 4.29243
0.533913 4.29353
0.536589 4.29463
0.539279 4.29573
0.541982 4.30431
0.898073 4.28582
0.902575 4.28582
0.907099 4.28582
0.911646 4.28582
0.916216 4.28582
0.920809 4.28582
0.925424 4.28582
0.930063 4.28582
0.934725 4.28582
0.939411 4.28582
0.94412 4.28582
0.948852 4.28582
0.953609 4.28582
0.958389 4.28582
0.963193 4.28582
0.968021 4.28582
0.972874 4.28582
0.97775 4.28582
0.982652 4.28582
0.987577 4.28582
0.992528 4.28582
0.997503 4.28582
1.0025 4.28582
1.00753 4.28582
1.01258 4.28582
1.01765 4.28582
1.02276 4.28582
1.02788 4.28582
1.03304 4.28582
1.03821 4.28582
1.04342 4.28582
1.04865 4.28582
1.0539 4.28582
1.05919 4.28582
1.0645 4.28582
1.06983 4.28582
1.0752 4.28582
1.08059 4.28582
1.086 4.28582
1.3465 4.30123
1.35325 4.30123
1.36004 4.30123
1.36685 4.30123
1.37371 4.30123
1.38059 4.30123
1.38751 4.30123
1.39447 4.30123
1.40146 4.30123
1.40848 4.30123
1.41554 4.30123
1.42264 4.30123
1.42977 4.30123
1.43694 4.30123
1.44414 4.30123
1.45138 4.30123
1.45865 4.30123
1.46597 4.30123
1.47331 4.30123
1.4807 4.30508
1.48812 4.30123
1.49558 4.30123
1.50308 4.30123
1.51061 4.30123
1.51818 4.30123
1.5258 4.30123
1.53344 4.30123
1.54113 4.30123
1.54886 4.30123
1.55662 4.30123
1.56442 4.30123
1.57226 4.30123
1.58015 4.30123
1.58807 4.30123
1.59603 4.30123
1.60403 4.30123
1.61207 4.30123
1.62015 4.30123
1.62827 4.30123
1.79952 4.29815
1.80854 4.30674
1.81761 4.30784
1.82672 4.30894
1.83588 4.31004
1.84508 4.31114
1.85433 4.31224
1.86362 4.31334
1.87297 4.31444
1.88235 4.31554
1.89179 4.31664
1.90127 4.31774
1.9108 4.31884
1.92038 4.31994
1.93001 4.32104
1.93968 4.32214
1.94941 4.32324
1.95918 4.32435
1.969 4.32435
1.97887 4.3282
1.98879 4.3282
1.99876 4.32875
2.00878 4.32985
2.01885 4.33095
2.02897 4.33205
2.03914 4.33315
2.04936 4.33425
2.05963 4.33535
2.06996 4.33645
2.08033 4.33755
2.09076 4.33865
2.10124 4.33975
2.11177 4.34085
2.12236 4.34195
2.133 4.34306
2.14369 4.34416
2.15443 4.34526
2.16523 4.34636
2.17609 4.37314
2.2536 4.35901
2.2649 4.35901
2.27625 4.35901
2.28766 4.35901
2.29913 4.35901
2.31065 4.35901
2.32224 4.35901
2.33388 4.35901
2.34558 4.35901
2.35733 4.35901
2.36915 4.35901
2.38103 4.35901
2.39296 4.35901
2.40496 4.35901
2.41701 4.35901
2.42913 4.35901
2.44131 4.35901
2.45354 4.35901
2.46584 4.35901
2.4782 4.35901
2.49063 4.35901
2.50311 4.35901
2.51566 4.35901
2.52827 4.35901
2.54094 4.35901
2.55368 4.35901
2.56648 4.35901
2.57934 4.35901
2.59227 4.35901
2.60527 4.35901
2.61833 4.35901
2.63145 4.35901
2.64464 4.35901
2.6579 4.35901
2.67122 4.35901
2.68461 4.35901
2.69807 4.37904
2.71159 4.37413
2.72519 4.3817
2.73885 4.38928
2.75258 4.39038
2.76637 4.39148
2.78024 4.39258
2.79418 4.39368
2.80818 4.39478
2.82226 4.39588
2.83641 4.39698
2.85063 4.39808
2.86492 4.39919
2.87928 4.40029
2.89371 4.40139
2.90821 4.40249
2.92279 4.40359
2.93744 4.40469
2.95217 4.40524
2.96697 4.40524
2.98184 4.40909
2.99679 4.40909
3.01181 4.41019
3.02691 4.41129
3.04208 4.41239
3.05733 4.41349
3.07265 4.41459
3.08806 4.41569
3.10354 4.4168
3.11909 4.4179
3.13473 4.419
3.15044 4.46131
3.16623 4.46361
3.1821 4.45311
3.19806 4.45311
3.21409 4.45311
3.2302 4.45311
3.24639 4.44524
3.26266 4.44222
3.27902 4.47733
3.29545 4.47623
3.31197 4.47513
3.32858 4.47403
3.34526 4.47293
3.36203 4.47182
3.37888 4.47072
3.39582 4.46962
3.41284 4.46852
