Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
70.7,5136763247,6897,744782.3,2497.0,1242,9331969,1415849.8,cuStreamSynchronize
15.0,1091524439,82281,13265.8,2327.0,1884,168204152,1146773.7,cuMemcpyHtoDAsync_v2
12.6,913959014,3549,257525.8,79666.0,9761,243757625,4094262.0,cuMemcpyDtoHAsync_v2
0.4,30546284,15940,1916.3,1756.0,1316,11098,654.4,cuMemsetD32Async
0.4,30457183,6879,4427.6,3978.0,3146,33007,1582.5,cuLaunchKernel
0.3,22670088,1,22670088.0,22670088.0,22670088,22670088,0.0,cuMemHostAlloc
0.2,16860224,40480,416.5,353.0,311,45066,324.0,cuEventQuery
0.1,4571139,104,43953.3,2807.5,1408,806892,107072.1,cuMemAlloc_v2
0.1,4110875,1171,3510.6,3117.0,2612,13290,1117.1,cuMemcpyDtoDAsync_v2
0.1,4002808,2536,1578.4,1459.0,629,15326,1119.3,cuMemRetainAllocationHandle
0.0,2696483,1,2696483.0,2696483.0,2696483,2696483,0.0,cuModuleLoadDataEx
0.0,2694778,1171,2301.3,2088.0,1549,12717,795.3,cuEventRecord
0.0,1911869,128,14936.5,1703.0,1087,687082,68874.2,cuStreamCreate
0.0,1631012,1,1631012.0,1631012.0,1631012,1631012,0.0,cudaGetDeviceProperties_v2_v12000
0.0,1149792,128,8982.8,8190.5,5033,34069,3789.1,cuStreamDestroy_v2
0.0,725305,1,725305.0,725305.0,725305,725305,0.0,cuMemAllocHost_v2
0.0,689791,1,689791.0,689791.0,689791,689791,0.0,cuIpcOpenMemHandle_v2
0.0,209917,1,209917.0,209917.0,209917,209917,0.0,cuMemCreate
0.0,107769,1,107769.0,107769.0,107769,107769,0.0,cuMemAllocManaged
0.0,65692,421,156.0,122.0,70,1857,133.3,cuGetProcAddress_v2
0.0,63420,128,495.5,295.0,214,3149,467.9,cuEventDestroy_v2
0.0,51719,128,404.1,169.5,156,5462,680.9,cuEventCreate
0.0,40554,1,40554.0,40554.0,40554,40554,0.0,cuMemGetHandleForAddressRange
0.0,12507,1,12507.0,12507.0,12507,12507,0.0,cuCtxSetFlags
0.0,7890,1,7890.0,7890.0,7890,7890,0.0,cuMemFree_v2
0.0,6312,3,2104.0,1983.0,1819,2510,361.0,cuInit
0.0,1642,4,410.5,338.0,162,804,286.3,cuCtxSetCurrent
0.0,322,1,322.0,322.0,322,322,0.0,cuMemGetAllocationGranularity
0.0,110,1,110.0,110.0,110,110,0.0,cuModuleGetLoadingMode
