Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
35.9,2023109693,540,3746499.4,3721978.0,3715802,4394008,119681.1,nvkernel_pressure_solver_jacobi_apply__F1L502_16_
15.1,852498985,540,1578701.8,1567389.0,1563966,1885565,56626.6,nvkernel_pressure_solver_jacobi_compute_phi__F1L418_10_
12.3,695424304,90,7726936.7,7646628.0,7643987,9337040,349342.8,nvkernel_step_momentum__F1L153_6_
7.2,404518651,540,749108.6,742750.5,741567,919230,31514.7,nvkernel_pressure_solver_jacobi_apply__F1L470_14_
6.3,352954889,90,3921721.0,3918601.5,3912634,3990521,14794.4,nvkernel_step_add_bodyforce_correction__F1L405_14_
5.7,319578696,631,506463.9,483807.0,477567,689407,53297.8,nvkernel_comm_copy_local_same_level__F1L1660_14_
4.5,252545033,90,2806055.9,2771020.0,2769435,3516601,153933.6,nvkernel_ibmm_update_ibm_mu__F1L1170_21_
3.5,199942295,90,2221581.1,2201548.5,2199293,2733819,94896.7,nvkernel_pressure_solver_compute_rdenom__F1L366_6_
2.9,162855198,90,1809502.2,1786989.0,1783677,2268412,99367.7,nvkernel_bodyforce_fill_trip_kernel__F1L387_6_
2.4,133775748,90,1486397.2,1481853.5,1480797,1602269,21861.6,nvkernel_step_momentum__F1L366_8_
1.9,107919016,540,199850.0,198848.0,195360,233056,5646.6,nvkernel_comm_copy_local_scalar_same_level__F1L1900_26_
0.8,42596909,631,67507.0,66400.0,65184,85408,2729.2,nvkernel_boundary_apply_bc__F1L634_2_
0.7,40697214,31,1312813.4,1289854.0,1283422,1628669,84268.0,nvkernel_step_get_timestep_rates__F1L672_22_
0.2,14090573,631,22330.5,21472.0,19616,32640,2341.9,nvkernel_comm_unpack_entries__F1L2002_34_
0.2,12034052,631,19071.4,18432.0,17408,27936,1620.0,nvkernel_comm_pack_entries__F1L1939_30_
0.1,8070327,540,14945.0,14848.0,14016,17760,474.7,nvkernel_boundary_apply_scalar_bc__F1L751_6_
0.1,5243575,540,9710.3,9632.0,9216,11520,346.5,nvkernel_comm_pack_scalar_entries__F1L2060_38_
0.1,3860345,3,1286781.7,1286910.0,1286525,1286910,222.3,nvkernel_ibmm_set_ibm_coeff__F1L991_16_
0.1,3677977,540,6811.1,6752.0,6464,9152,298.3,nvkernel_comm_unpack_scalar_entries__F1L2116_42_
0.0,2379356,1,2379356.0,2379356.0,2379356,2379356,0.0,nvkernel_boundarylayer_stats_divergence_reductions__F1L351_6_
