PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
201692,201692,0,90,90,7733592.4,7653074.0,7649790,9346027,349585.2,4819.2,4094.5,3459,11798,1964.4,1836.5,1915.0,56,2570,394.8,7726936.7,7646628.0,7643987,9337040,349342.8,cuLaunchKernel,nvkernel_step_momentum__F1L153_6_
201692,201692,0,90,89,3929060.2,3925378.5,3918582,3998935,15137.0,5526.6,4312.0,3551,22006,3014.0,1846.2,1931.0,614,2843,414.1,3921721.0,3918601.5,3912634,3990521,14794.4,cuLaunchKernel,nvkernel_step_add_bodyforce_correction__F1L405_14_
201692,201692,0,540,539,3752847.9,3728157.0,3721304,4403514,120226.5,4268.4,3812.5,3287,10894,1351.7,2085.2,2006.0,174,7216,674.2,3746499.4,3721978.0,3715802,4394008,119681.1,cuLaunchKernel,nvkernel_pressure_solver_jacobi_apply__F1L502_16_
201692,201692,0,90,90,2815907.7,2781098.0,2776975,3529271,154491.4,4539.4,3948.5,3530,10696,1544.6,5312.5,5941.0,641,11891,2155.0,2806055.9,2771020.0,2769435,3516601,153933.6,cuLaunchKernel,nvkernel_ibmm_update_ibm_mu__F1L1170_21_
201692,201692,0,1,1,2388068.0,2388068.0,2388068,2388068,0.0,8570.0,8570.0,8570,8570,0.0,142.0,142.0,142,142,0.0,2379356.0,2379356.0,2379356,2379356,0.0,cuLaunchKernel,nvkernel_boundarylayer_stats_divergence_reductions__F1L351_6_
201692,201692,0,90,90,2227942.9,2207775.0,2205070,2756349,96270.7,4333.7,3783.5,3418,22273,2129.1,2028.1,2014.0,257,5418,579.7,2221581.1,2201548.5,2199293,2733819,94896.7,cuLaunchKernel,nvkernel_pressure_solver_compute_rdenom__F1L366_6_
201692,201692,0,90,90,1817770.8,1794963.5,1790695,2284741,100053.0,4905.2,4221.0,3479,11810,1953.5,3363.4,3542.5,497,12685,1752.4,1809502.2,1786989.0,1783677,2268412,99367.7,cuLaunchKernel,nvkernel_bodyforce_fill_trip_kernel__F1L387_6_
201692,201692,0,540,539,1584949.4,1573280.5,1569947,1893809,57074.4,4167.3,3703.5,3356,16659,1355.9,2084.2,2062.0,488,5513,533.9,1578701.8,1567389.0,1563966,1885565,56626.6,cuLaunchKernel,nvkernel_pressure_solver_jacobi_compute_phi__F1L418_10_
201692,201692,0,90,89,1493405.7,1488414.0,1486784,1609464,21918.7,4837.0,4120.5,3212,13654,2303.2,2198.1,2325.0,21,2932,495.8,1486397.2,1481853.5,1480797,1602269,21861.6,cuLaunchKernel,nvkernel_step_momentum__F1L366_8_
201692,201692,0,31,30,1319108.1,1296167.0,1291919,1634730,84358.7,4505.6,4015.0,3624,7948,1156.6,1871.7,1912.0,1160,2478,250.7,1312813.4,1289854.0,1283422,1628669,84268.0,cuLaunchKernel,nvkernel_step_get_timestep_rates__F1L672_22_
201692,201692,0,3,3,1307662.7,1305483.0,1296599,1320906,12299.2,15334.0,7714.0,5281,33007,15353.5,5547.0,1975.0,989,13677,7058.0,1286781.7,1286910.0,1286525,1286910,222.3,cuLaunchKernel,nvkernel_ibmm_set_ibm_coeff__F1L991_16_
201692,201692,0,540,540,756210.9,749777.5,748081,931208,32083.8,3747.5,3464.5,3146,8571,789.3,3354.8,3557.5,289,9034,1015.2,749108.6,742750.5,741567,919230,31514.7,cuLaunchKernel,nvkernel_pressure_solver_jacobi_apply__F1L470_14_
201692,201692,0,631,631,527279.5,505994.0,488686,721543,53759.4,4478.9,4068.0,3685,14490,1158.7,16336.8,18702.0,588,28324,5801.7,506463.9,483807.0,477567,689407,53297.8,cuLaunchKernel,nvkernel_comm_copy_local_same_level__F1L1660_14_
