Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
64.2,2299505461,9238,248918.1,5382.0,1205,4083273,554914.2,cuStreamSynchronize
18.5,662312756,104810,6319.2,2357.0,1843,75016172,439757.1,cuMemcpyHtoDAsync_v2
13.3,476685208,4270,111635.9,72282.5,10345,54000758,828661.8,cuMemcpyDtoHAsync_v2
1.2,43537134,23144,1881.1,1728.0,1255,22129,622.9,cuMemsetD32Async
1.1,39767720,9220,4313.2,3902.0,3050,27677,1398.9,cuLaunchKernel
0.6,21992232,1,21992232.0,21992232.0,21992232,21992232,0.0,cuMemHostAlloc
0.3,11937461,27587,432.7,330.0,308,5597,288.7,cuEventQuery
0.1,4444622,2571,1728.8,1425.0,577,16620,1148.7,cuMemRetainAllocationHandle
0.1,4079640,1171,3483.9,3104.0,2635,12163,968.7,cuMemcpyDtoDAsync_v2
0.1,3814260,104,36675.6,2595.0,1449,578756,86862.1,cuMemAlloc_v2
0.1,2897760,1171,2474.6,2266.0,1772,11121,702.1,cuEventRecord
0.1,2753198,1,2753198.0,2753198.0,2753198,2753198,0.0,cuModuleLoadDataEx
0.0,1562982,128,12210.8,1714.0,1088,350026,45077.6,cuStreamCreate
0.0,1328159,1,1328159.0,1328159.0,1328159,1328159,0.0,cudaGetDeviceProperties_v2_v12000
0.0,863831,128,6748.7,5966.0,3416,28637,2788.2,cuStreamDestroy_v2
0.0,798001,1,798001.0,798001.0,798001,798001,0.0,cuMemAllocHost_v2
0.0,791551,1,791551.0,791551.0,791551,791551,0.0,cuMemCreate
0.0,412977,1,412977.0,412977.0,412977,412977,0.0,cuIpcOpenMemHandle_v2
0.0,72588,1,72588.0,72588.0,72588,72588,0.0,cuMemAllocManaged
0.0,65414,421,155.4,120.0,63,1837,127.3,cuGetProcAddress_v2
0.0,45730,128,357.3,165.0,151,2800,509.3,cuEventCreate
0.0,40897,128,319.5,200.5,117,1409,339.2,cuEventDestroy_v2
0.0,36351,1,36351.0,36351.0,36351,36351,0.0,cuMemGetHandleForAddressRange
0.0,15254,1,15254.0,15254.0,15254,15254,0.0,cuCtxSetFlags
0.0,7981,1,7981.0,7981.0,7981,7981,0.0,cuMemFree_v2
0.0,6877,3,2292.3,2494.0,1733,2650,490.6,cuInit
0.0,1566,4,391.5,265.5,122,913,354.4,cuCtxSetCurrent
0.0,252,1,252.0,252.0,252,252,0.0,cuMemGetAllocationGranularity
0.0,149,1,149.0,149.0,149,149,0.0,cuModuleGetLoadingMode
