Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
35.0,885544324,540,1639896.9,1627725.5,1624189,1922012,57970.8,nvkernel_pressure_solver_jacobi_apply__F1L502_16_
14.8,375197275,540,694809.8,689119.0,686559,828990,28079.1,nvkernel_pressure_solver_jacobi_compute_phi__F1L418_10_
12.0,304459216,90,3382880.2,3349466.0,3347642,4088345,152908.3,nvkernel_step_momentum__F1L153_6_
7.1,178291398,540,330169.3,326847.0,326207,404992,15706.0,nvkernel_pressure_solver_jacobi_apply__F1L470_14_
6.1,154202096,90,1713356.6,1712109.0,1708701,1745053,6683.7,nvkernel_step_add_bodyforce_correction__F1L405_14_
4.9,123845360,631,196268.4,186847.0,182624,269023,22608.8,nvkernel_comm_copy_local_same_level__F1L1660_14_
4.4,110597118,90,1228856.9,1214238.0,1213278,1540765,67543.2,nvkernel_ibmm_update_ibm_mu__F1L1170_21_
3.6,89745603,90,997173.4,985038.5,982046,1255838,55981.5,nvkernel_bodyforce_fill_trip_kernel__F1L387_6_
3.5,87953864,90,977265.2,966798.0,964990,1202686,47972.9,nvkernel_pressure_solver_compute_rdenom__F1L366_6_
2.3,58859998,90,654000.0,651615.0,650943,706143,11243.7,nvkernel_step_momentum__F1L366_8_
1.5,36955477,540,68436.1,67983.5,65759,80095,2156.7,nvkernel_comm_copy_local_scalar_same_level__F1L1900_26_
1.1,27337426,631,43324.0,42400.0,41056,57952,2254.6,nvkernel_boundary_apply_bc__F1L634_2_
0.7,18025345,31,581462.7,571519.0,569279,721855,37273.0,nvkernel_step_get_timestep_rates__F1L672_22_
0.5,13648606,181,75406.7,86048.0,62080,106271,12589.1,nvkernel_comm_copy_local_cross_level__F1L1713_18_
0.5,12122349,540,22448.8,22240.0,21728,27872,969.3,nvkernel_comm_copy_local_scalar_entries__F1L1824_22_
0.4,9825929,540,18196.2,18080.0,17568,21440,606.7,nvkernel_pressure_solver_interface_correct__F1L637_24_
0.4,9777127,631,15494.7,15104.0,14080,20704,1076.1,nvkernel_comm_pack_entries__F1L1939_30_
0.3,7499382,631,11884.9,11168.0,10368,19072,1772.5,nvkernel_comm_unpack_entries__F1L2002_34_
0.2,5201974,540,9633.3,9552.0,9056,11936,427.0,nvkernel_comm_pack_scalar_entries__F1L2060_38_
0.2,4169146,540,7720.6,7648.0,7168,11232,385.8,nvkernel_boundary_apply_scalar_bc__F1L751_6_
0.2,4022682,540,7449.4,7328.0,7168,9824,432.8,nvkernel_pressure_solver_interface_correct__F1L664_26_
0.2,3820891,540,7075.7,7008.0,6784,8896,349.7,nvkernel_pressure_solver_interface_correct__F1L610_22_
0.1,3436891,540,6364.6,6304.0,5856,7872,299.9,nvkernel_comm_unpack_scalar_entries__F1L2116_42_
0.1,1697597,3,565865.7,565951.0,565695,565951,147.8,nvkernel_ibmm_set_ibm_coeff__F1L991_16_
0.0,1045983,1,1045983.0,1045983.0,1045983,1045983,0.0,nvkernel_boundarylayer_stats_divergence_reductions__F1L351_6_
