PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
200728,200728,0,90,88,3389583.7,3355609.5,3353345,4096869,153092.4,4941.7,4079.0,3498,15187,2155.1,1811.6,1876.5,204,2746,375.3,3382880.2,3349466.0,3347642,4088345,152908.3,cuLaunchKernel,nvkernel_step_momentum__F1L153_6_
200728,200728,0,90,90,1720309.4,1718508.5,1714495,1756046,7271.8,5143.9,4201.0,3681,13162,2269.9,1808.9,1902.5,155,2962,419.3,1713356.6,1712109.0,1708701,1745053,6683.7,cuLaunchKernel,nvkernel_step_add_bodyforce_correction__F1L405_14_
200728,200728,0,540,538,1646363.7,1634041.5,1630044,1932867,58539.0,4076.0,3630.0,3090,13004,1279.8,2415.9,2218.5,43,7758,888.9,1639896.9,1627725.5,1624189,1922012,57970.8,cuLaunchKernel,nvkernel_pressure_solver_jacobi_apply__F1L502_16_
200728,200728,0,90,90,1238669.5,1224252.5,1219509,1556890,68174.9,4415.7,3900.5,3452,8912,1209.1,5397.0,5994.5,911,12259,2267.7,1228856.9,1214238.0,1213278,1540765,67543.2,cuLaunchKernel,nvkernel_ibmm_update_ibm_mu__F1L1170_21_
200728,200728,0,1,0,1053160.0,1053160.0,1053160,1053160,0.0,8345.0,8345.0,8345,8345,0.0,,,,,0.0,1045983.0,1045983.0,1045983,1045983,0.0,cuLaunchKernel,nvkernel_boundarylayer_stats_divergence_reductions__F1L351_6_
200728,200728,0,90,90,1005312.8,993230.5,990042,1267501,56327.1,4889.8,4209.5,3502,11838,1790.7,3249.6,3728.0,534,6875,1261.2,997173.4,985038.5,982046,1255838,55981.5,cuLaunchKernel,nvkernel_bodyforce_fill_trip_kernel__F1L387_6_
200728,200728,0,90,89,983749.1,973043.0,970618,1224379,49291.1,4378.6,3760.0,3369,21972,2111.3,2132.1,2083.0,1283,5213,620.8,977265.2,966798.0,964990,1202686,47972.9,cuLaunchKernel,nvkernel_pressure_solver_compute_rdenom__F1L366_6_
200728,200728,0,540,540,701096.0,695019.0,692295,838363,28600.9,4209.4,3737.0,3281,11033,1184.6,2076.9,2023.5,748,6582,616.2,694809.8,689119.0,686559,828990,28079.1,cuLaunchKernel,nvkernel_pressure_solver_jacobi_compute_phi__F1L418_10_
200728,200728,0,90,90,664311.9,657880.5,657075,951023,32714.1,4919.1,3990.5,3360,14001,2443.0,5392.9,2275.5,413,294888,30861.7,654000.0,651615.0,650943,706143,11243.7,cuLaunchKernel,nvkernel_step_momentum__F1L366_8_
200728,200728,0,31,30,587967.8,577846.0,574990,731613,37979.7,4673.1,4025.0,3423,11403,1892.0,1992.2,2084.5,1124,2590,316.4,581462.7,571519.0,569279,721855,37273.0,cuLaunchKernel,nvkernel_step_get_timestep_rates__F1L672_22_
200728,200728,0,3,3,584553.7,584452.0,579513,589696,5092.3,11611.7,8324.0,3799,22712,9875.8,7076.3,5238.0,1033,14958,7142.2,565865.7,565951.0,565695,565951,147.8,cuLaunchKernel,nvkernel_ibmm_set_ibm_coeff__F1L991_16_
200728,200728,0,540,540,337182.4,333791.0,332040,416001,16248.9,3809.6,3444.5,3080,7664,855.3,3203.5,3389.5,1070,7876,1028.2,330169.3,326847.0,326207,404992,15706.0,cuLaunchKernel,nvkernel_pressure_solver_jacobi_apply__F1L470_14_
200728,200728,0,631,630,216341.2,209435.0,190815,300307,23576.9,4558.9,4085.0,3670,17403,1226.7,15538.9,18836.0,469,28558,6650.9,196268.4,186847.0,182624,269023,22608.8,cuLaunchKernel,nvkernel_comm_copy_local_same_level__F1L1660_14_
200728,200728,0,181,180,105023.8,102022.0,70281,155285,15275.6,4412.6,3935.0,3321,18213,1653.4,25347.0,27279.0,184,44737,9834.5,75406.7,86048.0,62080,106271,12589.1,cuLaunchKernel,nvkernel_comm_copy_local_cross_level__F1L1713_18_
200728,200728,0,540,540,88346.3,90684.5,72964,112375,6398.0,4638.5,4109.0,3678,9685,1247.1,15271.7,18833.5,882,28496,6755.3,68436.1,67983.5,65759,80095,2156.7,cuLaunchKernel,nvkernel_comm_copy_local_scalar_same_level__F1L1900_26_
200728,200728,0,631,628,49291.9,48170.0,46792,83369,2832.5,3891.7,3402.0,3056,27677,1439.3,2095.2,2134.0,775,3115,297.4,43324.0,42400.0,41056,57952,2254.6,cuLaunchKernel,nvkernel_boundary_apply_bc__F1L634_2_
200728,200728,0,540,539,49158.8,52968.0,28720,75640,8447.7,4196.9,3709.5,3315,13160,1239.8,22563.3,27085.0,1040,44965,9207.9,22448.8,22240.0,21728,27872,969.3,cuLaunchKernel,nvkernel_comm_copy_local_scalar_entries__F1L1824_22_
200728,200728,0,631,631,43562.5,46537.0,21913,69574,8947.7,4033.7,3586.0,3226,12623,1068.7,24034.2,27923.0,534,45946,9576.4,15494.7,15104.0,14080,20704,1076.1,cuLaunchKernel,nvkernel_comm_pack_entries__F1L1939_30_
200728,200728,0,631,630,40022.6,42330.0,17274,68441,8836.2,4706.1,4216.0,3606,12602,1378.7,23468.8,27072.0,525,45163,9551.8,11884.9,11168.0,10368,19072,1772.5,cuLaunchKernel,nvkernel_comm_unpack_entries__F1L2002_34_
200728,200728,0,540,540,37436.3,41133.5,16664,60730,8315.7,4632.4,4053.5,3246,16894,1623.3,23170.6,27715.0,818,45264,9464.2,9633.3,9552.0,9056,11936,427.0,cuLaunchKernel,nvkernel_comm_pack_scalar_entries__F1L2060_38_
200728,200728,0,540,540,26762.1,29217.5,12597,41516,5749.9,4692.5,4160.0,3667,12671,1360.8,15705.0,18845.0,281,28445,6672.0,6364.6,6304.0,5856,7872,299.9,cuLaunchKernel,nvkernel_comm_unpack_scalar_entries__F1L2116_42_
200728,200728,0,540,540,24573.1,24095.0,22757,33466,1668.2,3957.7,3555.5,3201,11621,983.2,2419.3,2118.0,704,8505,1095.9,18196.2,18080.0,17568,21440,606.7,cuLaunchKernel,nvkernel_pressure_solver_interface_correct__F1L637_24_
200728,200728,0,540,540,13949.3,13559.5,12863,19327,1068.4,4106.7,3647.0,3329,10184,1057.3,2121.9,2126.0,817,4782,339.6,7720.6,7648.0,7168,11232,385.8,cuLaunchKernel,nvkernel_boundary_apply_scalar_bc__F1L751_6_
200728,200728,0,540,540,13914.7,13446.0,12605,22106,1492.6,3789.6,3425.0,3050,12160,901.3,2675.8,2363.5,62,9198,1125.9,7449.4,7328.0,7168,9824,432.8,cuLaunchKernel,nvkernel_pressure_solver_interface_correct__F1L664_26_
200728,200728,0,540,538,13881.3,13161.0,12307,23215,1802.9,4838.6,4135.5,3450,14954,1817.9,1975.5,1900.5,91,7985,794.4,7075.7,7008.0,6784,8896,349.7,cuLaunchKernel,nvkernel_pressure_solver_interface_correct__F1L610_22_
